date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction
2019-01-01,TCS,1717.5715,0.0,70.76,6.25,6.51,,1
2019-01-02,TCS,1736.0759,0.3818,70.76,6.25,6.51,0.010773583516028307,0
2019-01-03,TCS,1714.9988,-0.6486,70.76,6.25,6.51,-0.012140655831925251,0
2019-01-03,TCS,1714.9988,0.0,70.76,6.25,6.51,0.0,0
2019-01-03,TCS,1714.9988,-0.34,70.76,6.25,6.51,0.0,0
2019-01-03,TCS,1714.9988,0.0,70.76,6.25,6.51,0.0,0
2019-01-04,TCS,1694.1475,0.0,70.76,6.25,6.51,-0.012158200927021023,0
2019-01-04,TCS,1694.1475,0.5106,70.76,6.25,6.51,0.0,0
2019-01-04,TCS,1694.1475,0.4767,70.76,6.25,6.51,0.0,1
2019-01-07,TCS,1713.1483,0.0,70.76,6.25,6.51,0.011215552364832515,0
2019-01-07,TCS,1713.1483,0.1779,70.76,6.25,6.51,0.0,0
2019-01-08,TCS,1709.2218,0.2263,70.76,6.25,6.51,-0.0022919790423281405,0
2019-01-08,TCS,1709.2218,0.1779,70.76,6.25,6.51,0.0,0
2019-01-09,TCS,1703.2643,0.0,70.76,6.25,6.51,-0.0034855043388751783,1
2019-01-10,TCS,1704.7089,0.0,70.76,6.25,6.51,0.0008481361348324779,0
2019-01-10,TCS,1704.7089,0.1779,70.76,6.25,6.51,0.0,0
2019-01-11,TCS,1663.1864,-0.296,70.76,6.25,6.51,-0.024357531071727334,0
2019-01-11,TCS,1663.1864,0.0,70.76,6.25,6.51,0.0,0
2019-01-14,TCS,1636.7389,-0.5719,70.76,6.25,6.51,-0.01590170530494961,0
2019-01-14,TCS,1636.7389,-0.296,70.76,6.25,6.51,0.0,1
2019-01-15,TCS,1685.9784,0.34,71.1,6.25,6.51,0.03008390648013548,1
2019-01-16,TCS,1688.0999,0.1531,70.98,6.25,6.51,0.00125831979816593,0
2019-01-16,TCS,1688.0999,0.0,70.98,6.25,6.51,0.0,1
2019-01-17,TCS,1713.5642,0.0,71.05,6.25,6.51,0.015084593038599214,1
2019-01-18,TCS,1719.3083,0.5574,71.21,6.25,6.51,0.0033521358581136695,0
2019-01-18,TCS,1719.3083,0.3182,71.21,6.25,6.51,0.0,0
2019-01-18,TCS,1719.3083,0.4767,71.21,6.25,6.51,0.0,1
2019-01-21,TCS,1726.5898,0.0,71.188,6.25,6.51,0.0042351333963781546,0
2019-01-22,TCS,1720.4385,0.128,71.26,6.25,6.51,-0.003562687559025335,0
2019-01-22,TCS,1720.4385,0.0,71.26,6.25,6.51,0.0,0
2019-01-23,TCS,1696.6482,0.0,71.19,6.25,6.51,-0.013828044420070795,0
2019-01-23,TCS,1696.6482,0.0,71.19,6.25,6.51,0.0,0
2019-01-23,TCS,1696.6482,0.34,71.19,6.25,6.51,0.0,1
2019-01-24,TCS,1720.1224,-0.0772,71.0,6.25,6.51,0.013835631924166591,0
2019-01-24,TCS,1720.1224,0.0,71.0,6.25,6.51,0.0,0
2019-01-24,TCS,1720.1224,0.0258,71.0,6.25,6.51,0.0,1
2019-01-25,TCS,1737.5356,0.0,70.9,6.25,6.51,0.0101232330908545,0
2019-01-25,TCS,1737.5356,0.34,70.9,6.25,6.51,0.0,1
2019-01-28,TCS,1768.4727,-0.4019,71.07,6.25,6.51,0.017805160366210604,0
2019-01-28,TCS,1768.4727,0.0,71.07,6.25,6.51,0.0,1
2019-01-29,TCS,1793.5745,0.0,71.39,6.25,6.51,0.01419405569562926,0
2019-01-30,TCS,1792.3538,0.5106,71.235,6.25,6.51,-0.0006805962060677517,0
2019-01-30,TCS,1792.3538,0.4767,71.235,6.25,6.51,0.0,0
2019-01-30,TCS,1792.3538,0.0,71.235,6.25,6.51,0.0,0
2019-01-30,TCS,1792.3538,0.0,71.235,6.25,6.51,0.0,0
2019-01-30,TCS,1792.3538,0.0,71.235,6.25,6.51,0.0,1
2019-01-31,TCS,1821.9337,0.0,70.96,6.25,6.51,0.016503382312130555,0
2019-01-31,TCS,1821.9337,0.0,70.96,6.25,6.51,0.0,0
2019-01-31,TCS,1821.9337,-0.3818,70.96,6.25,6.51,0.0,1
2019-02-01,TCS,1836.272,0.0,70.96,6.25,6.51,0.00786982533996694,0
2019-02-01,TCS,1836.272,0.5106,70.96,6.25,6.51,0.0,0
2019-02-01,TCS,1836.272,0.0,70.96,6.25,6.51,0.0,1
2019-02-04,TCS,1854.6349,0.0,70.96,6.25,6.51,0.010000098024693482,0
2019-02-05,TCS,1849.4786,0.0,70.96,6.25,6.51,-0.002780223751855493,0
2019-02-05,TCS,1849.4786,0.5423,70.96,6.25,6.51,0.0,1
2019-02-06,TCS,1876.8422,0.0,70.96,6.25,6.51,0.014795305011909843,0
2019-02-06,TCS,1876.8422,0.0,70.96,6.25,6.51,0.0,1
2019-02-07,TCS,1884.1696,0.1779,70.96,6.25,6.51,0.0039041108517274825,0
2019-02-07,TCS,1884.1696,-0.296,70.96,6.25,6.51,0.0,0
2019-02-08,TCS,1864.7205,-0.4019,70.96,6.25,6.51,-0.010322372253538159,1
2019-02-11,TCS,1868.7916,0.0,70.96,6.25,6.51,0.002183222633097115,0
2019-02-12,TCS,1855.8561,0.34,70.96,6.25,6.51,-0.0069218526025053295,0
2019-02-12,TCS,1855.8561,0.0,70.96,6.25,6.51,0.0,0
