date,usd_inr_rate,interest_rate,unemployment_rate
2019-01-01,70.76,6.25,6.51
2019-01-02,70.76,6.25,6.51
2019-01-03,70.76,6.25,6.51
2019-01-04,70.76,6.25,6.51
2019-01-05,70.76,6.25,6.51
2019-01-06,70.76,6.25,6.51
2019-01-07,70.76,6.25,6.51
2019-01-08,70.76,6.25,6.51
2019-01-09,70.76,6.25,6.51
2019-01-10,70.76,6.25,6.51
2019-01-11,70.76,6.25,6.51
2019-01-12,70.76,6.25,6.51
2019-01-13,70.76,6.25,6.51
2019-01-14,70.76,6.25,6.51
2019-01-15,71.1,6.25,6.51
2019-01-16,70.98,6.25,6.51
2019-01-17,71.05,6.25,6.51
2019-01-18,71.21,6.25,6.51
2019-01-19,71.21,6.25,6.51
2019-01-20,71.21,6.25,6.51
2019-01-21,71.188,6.25,6.51
2019-01-22,71.26,6.25,6.51
2019-01-23,71.19,6.25,6.51
2019-01-24,71.0,6.25,6.51
2019-01-25,70.9,6.25,6.51
2019-01-26,70.9,6.25,6.51
2019-01-27,70.9,6.25,6.51
2019-01-28,71.07,6.25,6.51
2019-01-29,71.39,6.25,6.51
2019-01-30,71.235,6.25,6.51
2019-01-31,70.96,6.25,6.51
2019-02-01,70.96,6.25,6.51
2019-02-02,70.96,6.25,6.51
2019-02-03,70.96,6.25,6.51
2019-02-04,70.96,6.25,6.51
2019-02-05,70.96,6.25,6.51
2019-02-06,70.96,6.25,6.51
2019-02-07,70.96,6.25,6.51
2019-02-08,70.96,6.25,6.51
2019-02-09,70.96,6.25,6.51
2019-02-10,70.96,6.25,6.51
2019-02-11,70.96,6.25,6.51
2019-02-12,70.96,6.25,6.51
2019-02-13,70.875,6.25,6.51
2019-02-14,71.02,6.25,6.51
2019-02-15,71.33,6.25,6.51
2019-02-16,71.33,6.25,6.51
2019-02-17,71.33,6.25,6.51
2019-02-18,71.387,6.25,6.51
2019-02-19,71.3,6.25,6.51
2019-02-20,71.01,6.25,6.51
2019-02-21,71.165,6.25,6.51
2019-02-22,71.035,6.25,6.51
2019-02-23,71.035,6.25,6.51
2019-02-24,71.035,6.25,6.51
2019-02-25,70.834,6.25,6.51
2019-02-26,70.96,6.25,6.51
2019-02-27,71.2,6.25,6.51
2019-02-28,70.84,6.25,6.51
2019-03-01,70.84,6.25,6.51
2019-03-02,70.84,6.25,6.51
2019-03-03,70.84,6.25,6.51
2019-03-04,70.84,6.25,6.51
2019-03-05,70.84,6.25,6.51
2019-03-06,70.84,6.25,6.51
2019-03-07,70.84,6.25,6.51
2019-03-08,70.84,6.25,6.51
2019-03-09,70.84,6.25,6.51
2019-03-10,70.84,6.25,6.51
2019-03-11,70.84,6.25,6.51
2019-03-12,70.84,6.25,6.51
2019-03-13,69.529,6.25,6.51
2019-03-14,69.365,6.25,6.51
2019-03-15,68.963,6.25,6.51
2019-03-16,68.963,6.25,6.51
2019-03-17,68.963,6.25,6.51
2019-03-18,68.625,6.25,6.51
2019-03-19,69.015,6.25,6.51
2019-03-20,68.79,6.25,6.51
2019-03-21,68.81,6.25,6.51
2019-03-22,69.17,6.25,6.51
2019-03-23,69.17,6.25,6.51
2019-03-24,69.17,6.25,6.51
2019-03-25,68.89,6.25,6.51
2019-03-26,68.996,6.25,6.51
2019-03-27,69.1,6.25,6.51
2019-03-28,69.19,6.25,6.51
2019-03-29,69.185,6.25,6.51
2019-03-30,69.185,6.25,6.51
2019-03-31,69.185,6.25,6.51
2019-04-01,69.185,6.25,6.51
2019-04-02,69.185,6.25,6.51
2019-04-03,69.185,6.25,6.51
2019-04-04,69.185,6.0,6.51
2019-04-05,69.185,6.0,6.51
2019-04-06,69.185,6.0,6.51
2019-04-07,69.185,6.0,6.51
2019-04-08,69.185,6.0,6.51
2019-04-09,69.185,6.0,6.51
2019-04-10,69.185,6.0,6.51
2019-04-11,69.185,6.0,6.51
2019-04-12,69.185,6.0,6.51
2019-04-13,69.185,6.0,6.51
2019-04-14,69.185,6.0,6.51
2019-04-15,69.395,6.0,6.51
2019-04-16,69.53,6.0,6.51
2019-04-17,69.431,6.0,6.51
2019-04-18,69.395,6.0,6.51
2019-04-19,69.407,6.0,6.51
2019-04-20,69.407,6.0,6.51
2019-04-21,69.407,6.0,6.51
2019-04-22,69.7,6.0,6.51
2019-04-23,69.77,6.0,6.51
2019-04-24,69.96,6.0,6.51
2019-04-25,70.17,6.0,6.51
2019-04-26,69.85,6.0,6.51
2019-04-27,69.85,6.0,6.51
2019-04-28,69.85,6.0,6.51
2019-04-29,69.817,6.0,6.51
2019-04-30,69.647,6.0,6.51
2019-05-01,69.647,6.0,6.51
2019-05-02,69.647,6.0,6.51
2019-05-03,69.647,6.0,6.51
2019-05-04,69.647,6.0,6.51
2019-05-05,69.647,6.0,6.51
2019-05-06,69.647,6.0,6.51
2019-05-07,69.647,6.0,6.51
2019-05-08,69.647,6.0,6.51
2019-05-09,69.647,6.0,6.51
2019-05-10,69.647,6.0,6.51
2019-05-11,69.647,6.0,6.51
2019-05-12,69.647,6.0,6.51
2019-05-13,70.57,6.0,6.51
2019-05-14,70.332,6.0,6.51
2019-05-15,70.249,6.0,6.51
2019-05-16,70.13,6.0,6.51
2019-05-17,70.28,6.0,6.51
2019-05-18,70.28,6.0,6.51
2019-05-19,70.28,6.0,6.51
2019-05-20,69.609,6.0,6.51
2019-05-21,69.645,6.0,6.51
2019-05-22,69.65,6.0,6.51
2019-05-23,69.665,6.0,6.51
2019-05-24,69.38,6.0,6.51
2019-05-25,69.38,6.0,6.51
2019-05-26,69.38,6.0,6.51
2019-05-27,69.504,6.0,6.51
2019-05-28,69.61,6.0,6.51
2019-05-29,69.845,6.0,6.51
2019-05-30,69.825,6.0,6.51
2019-05-31,69.58,6.0,6.51
2019-06-01,69.58,6.0,6.51
2019-06-02,69.58,6.0,6.51
2019-06-03,69.58,6.0,6.51
2019-06-04,69.58,6.0,6.51
