date,interest_rate
2025-06-06,5.50%
2025-04-09,6%
2025-02-07,6.25%
2024-12-06,6.50%
2024-10-08,6.50%
2024-08-08,6.50%
2024-06-07,6.50%
2024-04-06,6.50%
2024-02-08,6.50%
2023-12-08,6.50%
2023-08-10,6.50%
2023-06-08,6.50%
2023-04-06,6.50%
2023-01-08,6.50%
2022-12-07,6.25%
2022-09-30,5.90%
2022-08-05,5.40%
2022-06-08,4.90%
2022-05-04,4.40%
2022-04-08,4.00%
2022-02-10,4.00%
2021-12-08,4.00%
2021-10-09,4.00%
2021-08-06,4.00%
2021-06-04,4.00%
2021-04-07,4.00%
2021-02-05,4.00%
2020-12-04,4.00%
2020-10-09,4.00%
2020-08-06,4.00%
2020-05-22,4.00%
2020-03-27,4.40%
2020-02-06,5.15%
2019-12-05,5.15%
2019-10-04,5.15%
2019-08-07,5.40%
2019-06-06,5.75%
2019-04-04,6%
2019-02-07,6.25%
2018-08-01,6.50%
2018-06-06,6.25%
2018-02-07,6.00%
2017-08-02,6.00%
2016-10-04,6.25%
2016-04-05,6.50%
2015-09-29,6.75%
2015-06-02,7.25%
2015-03-04,7.50%
2015-01-15,7.75%
2014-01-28,8.00%
2013-10-29,7.75%
2013-09-20,7.50%
2013-05-03,7.25%
2011-03-17,6.75%
2011-01-25,6.50%
2010-11-02,6.25%
2010-09-16,6.00%
2010-07-27,5.75%
2010-07-02,5.50%
2010-04-20,5.25%
2010-03-19,5.00%
2009-04-21,4.75%
2009-03-05,5.00%
2009-01-05,5.50%
2008-12-08,6.50%
2008-11-03,7.50%
2008-10-20,8.00%
2008-07-30,9.00%
2008-06-25,8.50%
2008-06-12,8.00%
2007-03-30,7.75%
2007-01-31,7.50%
2006-10-30,7.25%
2006-07-25,7.00%
2006-01-24,6.50%
2006-01-24,6.50%
2005-10-26,6.25%
2005-10-26,6.25%
2004-03-31,6.00%
2003-03-19,7.00%
2003-03-07,7.10%
2002-11-12,7.50%
2002-03-28,8.00%
2001-06-07,8.50%
2001-04-30,8.75%
2001-03-09,9.00%
2000-11-06,10.00%
2000-10-13,10.25%
2000-09-06,13.50%
2000-08-30,15.00%
2000-08-09,16.00%
2000-07-21,10.00%
2000-07-13,9.00%
2000-06-28,12.25%
2000-06-27,12.60%
2000-06-23,13.05%
2000-06-22,13.00%
2000-06-21,13.50%
2000-06-20,14.00%
2000-06-19,13.50%
2000-06-14,10.85%
2000-06-13,9.55%
2000-06-12,9.25%
2000-06-09,9.05%
2000-06-07,9.00%
2000-06-05,9.05%
