date,usd_inr_rate
2019-01-14,70.76
2019-01-15,71.1
2019-01-16,70.98
2019-01-17,71.05
2019-01-18,71.21
2019-01-21,71.188
2019-01-22,71.26
2019-01-23,71.19
2019-01-24,71.0
2019-01-25,70.9
2019-01-28,71.07
2019-01-29,71.39
2019-01-30,71.235
2019-01-31,70.96
2019-02-13,70.875
2019-02-14,71.02
2019-02-15,71.33
2019-02-18,71.387
2019-02-19,71.3
2019-02-20,71.01
2019-02-21,71.165
2019-02-22,71.035
2019-02-25,70.834
2019-02-26,70.96
2019-02-27,71.2
2019-02-28,70.84
2019-03-13,69.529
2019-03-14,69.365
2019-03-15,68.963
2019-03-18,68.625
2019-03-19,69.015
2019-03-20,68.79
2019-03-21,68.81
2019-03-22,69.17
2019-03-25,68.89
2019-03-26,68.996
2019-03-27,69.1
2019-03-28,69.19
2019-03-29,69.185
2019-04-15,69.395
2019-04-16,69.53
2019-04-17,69.431
2019-04-18,69.395
2019-04-19,69.407
2019-04-22,69.7
2019-04-23,69.77
2019-04-24,69.96
2019-04-25,70.17
2019-04-26,69.85
2019-04-29,69.817
2019-04-30,69.647
2019-05-13,70.57
2019-05-14,70.332
2019-05-15,70.249
2019-05-16,70.13
2019-05-17,70.28
2019-05-20,69.609
2019-05-21,69.645
2019-05-22,69.65
2019-05-23,69.665
2019-05-24,69.38
2019-05-27,69.504
2019-05-28,69.61
2019-05-29,69.845
2019-05-30,69.825
2019-05-31,69.58
2019-06-13,69.53
2019-06-14,69.833
2019-06-17,69.85
2019-06-18,69.61
2019-06-19,69.65
2019-06-20,69.52
2019-06-21,69.615
2019-06-24,69.273
2019-06-25,69.334
2019-06-26,69.245
2019-06-27,69.088
2019-06-28,68.95
2019-07-15,68.545
2019-07-16,68.65
2019-07-17,68.846
2019-07-18,68.855
2019-07-19,68.86
2019-07-22,68.93
2019-07-23,69.033
2019-07-24,68.98
2019-07-25,69.041
2019-07-26,68.88
2019-07-29,68.755
2019-07-30,68.862
2019-07-31,68.875
2019-08-13,71.418
2019-08-14,71.275
2019-08-15,71.81
2019-08-16,71.155
2019-08-19,71.451
2019-08-20,71.549
2019-08-21,71.44
2019-08-22,71.93
2019-08-23,71.513
2019-08-26,72.025
2019-08-27,71.543
2019-08-28,71.829
2019-08-29,71.69
2019-08-30,71.453
2019-09-13,70.985
2019-09-16,71.58
2019-09-17,71.49
2019-09-18,71.145
2019-09-19,71.375
2019-09-20,71.075
2019-09-23,70.799
2019-09-24,70.971
2019-09-25,70.988
2019-09-26,70.964
2019-09-27,70.509
2019-09-30,70.645
2019-10-14,71.237
2019-10-15,71.5
2019-10-16,71.364
2019-10-17,71.13
2019-10-18,71.09
2019-10-21,70.925
2019-10-22,70.81
2019-10-23,70.725
2019-10-24,70.965
2019-10-25,70.82
2019-10-28,70.745
2019-10-29,70.89
2019-10-30,70.952
2019-10-31,70.98
2019-11-13,72.15
2019-11-14,71.966
2019-11-15,71.65
2019-11-18,71.945
2019-11-19,71.83
2019-11-20,71.746
2019-11-21,71.75
2019-11-22,71.792
2019-11-25,71.689
2019-11-26,71.48
2019-11-27,71.26
2019-11-28,71.505
2019-11-29,71.749
2019-12-13,70.798
2019-12-16,70.915
2019-12-17,71.035
2019-12-18,71.0
2019-12-19,71.18
2019-12-20,71.06
2019-12-23,71.22
2019-12-24,71.28
2019-12-25,71.28
2019-12-26,71.3
2019-12-27,71.455
2019-12-30,71.32
2019-12-31,71.355
2020-01-13,70.71
2020-01-14,70.85
2020-01-15,70.72
2020-01-16,70.978
2020-01-17,71.079
2020-01-20,71.04
2020-01-21,71.17
2020-01-22,71.08
2020-01-23,71.4
2020-01-24,71.33
2020-01-27,71.45
2020-01-28,71.2
2020-01-29,71.31
2020-01-30,71.55
2020-01-31,71.555
2020-02-13,71.33
2020-02-14,71.529
2020-02-17,71.34
2020-02-18,71.585
2020-02-19,71.6
2020-02-20,71.68
2020-02-21,71.88
2020-02-24,71.935
2020-02-25,71.82
2020-02-26,71.58
2020-02-27,71.655
2020-02-28,72.539
2020-03-13,73.84
2020-03-16,74.003
2020-03-17,74.062
2020-03-18,74.55
2020-03-19,74.786
2020-03-20,75.399
2020-03-23,76.335
2020-03-24,76.379
2020-03-25,76.375
2020-03-26,74.889
2020-03-27,75.472
2020-03-30,75.41
2020-03-31,75.343
2020-04-13,76.249
2020-04-14,76.015
2020-04-15,76.564
2020-04-16,76.805
2020-04-17,76.55
2020-04-20,76.575
2020-04-21,76.975
2020-04-22,76.41
2020-04-23,75.895
2020-04-24,76.27
2020-04-27,76.229
2020-04-28,76.065
2020-04-29,75.455
2020-04-30,75.08
2020-05-13,75.365
2020-05-14,75.495
2020-05-15,75.83
2020-05-18,75.7
2020-05-19,75.645
2020-05-20,75.555
2020-05-21,75.62
2020-05-22,75.95
2020-05-25,75.887
2020-05-26,75.459
2020-05-27,75.92
2020-05-28,75.66
2020-05-29,75.605
2020-06-15,75.979
2020-06-16,76.25
2020-06-17,76.29
2020-06-18,76.4
2020-06-19,76.26
2020-06-22,75.79
2020-06-23,75.503
2020-06-24,75.665
2020-06-25,75.587
2020-06-26,75.62
2020-06-29,75.51
2020-06-30,75.545
2020-07-13,75.212
2020-07-14,75.406
2020-07-15,75.125
2020-07-16,75.18
2020-07-17,74.898
2020-07-20,74.75
2020-07-21,74.54
2020-07-22,74.61
2020-07-23,74.815
2020-07-24,74.76
2020-07-27,74.8
2020-07-28,74.909
2020-07-29,74.948
2020-07-30,74.876
2020-07-31,74.918
2020-08-13,74.812
2020-08-14,74.903
2020-08-17,74.744
2020-08-18,74.575
2020-08-19,74.847
2020-08-20,75.013
2020-08-21,74.922
2020-08-24,74.169
2020-08-25,74.223
2020-08-26,74.222
2020-08-27,73.904
2020-08-28,73.115
2020-08-31,73.257
2020-09-14,73.385
2020-09-15,73.61
2020-09-16,73.545
2020-09-17,73.61
2020-09-18,73.54
2020-09-21,73.58
2020-09-22,73.52
2020-09-23,73.58
2020-09-24,73.91
2020-09-25,73.685
2020-09-28,73.765
2020-09-29,73.76
2020-09-30,73.57
2020-10-13,73.41
2020-10-14,73.255
2020-10-15,73.435
2020-10-16,73.444
2020-10-19,73.36
2020-10-20,73.45
2020-10-21,73.6
2020-10-22,73.67
2020-10-23,73.842
2020-10-26,73.97
2020-10-27,73.624
2020-10-28,74.19
2020-10-29,74.38
2020-10-30,74.567
2020-11-13,74.582
2020-11-16,74.38
2020-11-17,74.48
2020-11-18,74.12
2020-11-19,74.11
2020-11-20,74.12
2020-11-23,74.26
2020-11-24,74.079
2020-11-25,73.789
2020-11-26,73.837
2020-11-27,73.935
2020-11-30,74.0
2020-12-14,73.64
2020-12-15,73.558
2020-12-16,73.64
2020-12-17,73.525
2020-12-18,73.575
2020-12-21,74.028
2020-12-22,73.854
2020-12-23,73.78
2020-12-24,73.555
2020-12-25,73.558
